Name ,Rating,Reviews,Size,Price,Downloads
Art & Design,4.1,159,19,99,10000
Art & Design,3.9,967,14,467,500000
Art & Design,4.7,87510,8.7,10,5000000
Art & Design,4.5,215644,25,79,50000000
Art & Design,4.3,967,2.8,79,100000
Art & Design,4.4,167,5.6,100,50000
Art & Design,3.8,178,19,129,50000
Art & Design,4.1,36815,29,135,1000000
Art & Design,4.4,13791,33,56,1000000
Art & Design,4.7,121,3.1,44,10000
Art & Design,4.4,13880,28,457,1000000
Art & Design,4.4,8788,12,1098,1000000
Art & Design,4.2,44829,20,0,10000000
Art & Design,4.6,4326,21,0,100000
Art & Design,4.4,1518,37,35,100000
Entertainment,3.2,55,2.7,66,5000
Entertainment,4.7,3632,5.5,49,500000
Entertainment,4.5,27,17,79,10000
Entertainment,4.3,194216,39,80,5000000
Entertainment,4.6,224399,31,79,10000000
Entertainment,4,450,14,90,100000
Entertainment,4.1,654,12,99,100000
Entertainment,4.7,7699,4.2,199,500000
Entertainment,0,61,7,249,100000
Entertainment,4.7,118,23,10,50000
Entertainment,4.8,192,6,5,10000
Entertainment,4.7,20260,25,49,500000
Entertainment,4.1,203,6.1,139,100000
Entertainment,3.9,136,4.6,120,10000
Entertainment,4.1,223,4.2,10,100000
Medical,4.2,1120,9.2,0,100000
Medical,4.1,227,5.2,0,50000
Medical,4.5,5035,11,0,100000
Medical,4.2,1015,11,0,100000
Medical,4.7,353,4.2,55,10000
Medical,3.8,564,9.2,65,100000
Medical,4.7,8145,24,70,500000
Medical,4.1,36639,24,30,5000000
Medical,4.7,158,11,89,10000
Medical,4,591,9.4,89,500000
Medical,4.2,117,15,99,10000
Medical,4.5,176,10,69,100000
Medical,4.4,295221,24,79,10000000
Medical,3.8,2206,1.2,59,100000
Medical,4.2,26,12,20,10000
Medical,4.7,174531,24,0,10000000
Productivity,4.6,1070,26,10,100000
Productivity,4.2,85,8,0,100000
Productivity,4.3,845,7.9,0,100000
Productivity,4.2,367,25,0,100000
Productivity,4,1598,56,10,1000000
Productivity,3.8,284,57,0,100000
Productivity,4.6,17057,25,0,1000000
Productivity,3.9,129,35,99,100000
Productivity,4.3,542,33,129,100000
Productivity,4.9,10479,33,75,100000
Productivity,4.4,805,5.6,76,50000
Productivity,4.2,129,54,70,100000
Productivity,4,1403,0.201,139,100000
Productivity,3.9,3971,3.6,150,100000
Productivity,4.6,534,5.7,0,10000
Productivity,4.9,7774,17,0,100000
Productivity,4.3,38846,8.6,0,1000000
Weather,4.6,2431,2.4,40,100000
Weather,4.9,6090,27,0,100000
Weather,3.9,295,2.7,0,10000
Weather,4,190,2.5,25,50000
Weather,4.3,40211,26,0,5000000
Weather,3.9,356,24,19,100000
Weather,4.2,52530,7,0,5000000
Weather,4.8,116986,35,0,5000000
Weather,3.6,1379,16,0,500000
Weather,4.2,271920,16,0,10000000
Weather,4.8,736,25,0,100000
Weather,4.8,7021,17,98,500000
Weather,4.6,197,3.4,2,50000
Weather,4.5,737,8.9,0,100000
Weather,4.3,3574,3.9,0,1000000
Weather,4.5,994,2.9,0,100000
Weather,4.9,197136,38,88,1000000
Tools,3.9,142,32,0,50000
Tools,4.4,15168,37,0,1000000
Tools,4,2155,15,0,500000
Tools,4.3,138,5.4,0,100000
Tools,3.7,5414,18,0,1000000
Tools,4.4,21777,25,0,1000000
Tools,4.3,348,38,0,100000
Tools,3.2,250,1.1,90,100000
Tools,4.6,13372,2.4,0,1000000
Tools,4.6,7880,1.2,0,100000
Tools,4.5,3617,7.9,0,100000
Tools,3.7,4806,35,145,1000000
Tools,4.6,65786,0.2,0,1000000
Tools,4.6,31433,17,0,1000000
Tools,4.6,5097,19,59,1000000
Tools,4,1754,14,110,500000
Personalization,4.4,2680,2.2,0,500000
Personalization,4,1288,4.5,0,100000
Personalization,4.7,18900,17,35,500000
Personalization,4.9,49790,14,39,1000000
Personalization,4.7,1150,9.8,80,100000
Personalization,3.9,1739,21,99,500000
Personalization,3.9,32090,0,0,7000
Personalization,4.2,2225,52,129,500000
Personalization,4.6,4369,14,0,100000
Personalization,4.3,8572,25,0,1000000
Personalization,4.7,964,9,55,50000
Personalization,4.7,42050,4,0,60000000
Personalization,4.8,104,12,99,10000
Personalization,4.2,17934,20,0,1000000
Personalization,4.3,601,35,0,100000
Personalization,4.5,36,6.7,0,10000
Personalization,4.1,187,30,0,50000
Games,3.6,182,5.7,0,100000
Games,4.2,30,2.9,0,10000
Games,4.5,134,17,0,10000
Games,4.4,74,2.9,0,10000
Games,4,113715,6.4,0,10000000
Games,4.1,3595,7.2,0,500000
Games,4.1,9315,2.6,0,1000000
Games,4.4,75,4.2,0,60000000
Games,4.6,38,7.1,0,100000
Games,4.5,26834,57,0,1000000
Games,4,119,3.7,0,50000
Games,3.9,2277,22,0,5000000
Games,4.4,2280,24,0,50000
Games,3.2,654,7.4,0,100000
Games,4.6,184,21,0,10000
Games,3.8,9,3.4,0,5000
Games,2,77,2.9,0,10000
Games,3.1,35,3.1,0,10000
Games,4,364,6.4,0,100000
Games,4.3,18,3.2,0,5000
Games,4.5,473,8.2,0,100000
Games,2.1,30,9.9,0,10000
Games,4.1,66,2.9,0,10000
Photography,3.7,3871,23,0,1000000
Photography,4.7,257,4.6,0,50000
Photography,4.2,62,3.1,0,10000
Photography,4.6,2914724,53.8,0,100000000
Photography,4.5,1857,4.9,0,50000
Photography,4.6,4478,9.5,0,100000
Photography,4.4,577550,30.4,0,10000000
Photography,4.2,814080,63,0,100000000
Photography,4.5,246315,15.9,0,10000000
Photography,4.5,454060,40,0,10000000
Photography,4.5,155446,52,0,10000000
Photography,4.5,418,4.2,0,100000
Photography,4.4,22486,5.4,0,1000000
